 id 	 url 	 gestion de robots.txt 	 code http 	 encodage initial de la page 	 lien vers la page brute 	 lien vers le dump textuel 	 nombre total de mots dans le dump 	 nombre d'occurrences du mot cible dans le dump
11	<a href=https://www.insee.fr/fr/statistiques/6327641>https://www.insee.fr/fr/statistiques/6327641</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-11.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-11.txt>Lien dump</a>	    3775	      32
12	<a href=https://www.1jour1actu.com/monde/cest-quoi-le-confinement>https://www.1jour1actu.com/monde/cest-quoi-le-confinement</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-12.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-12.txt>Lien dump</a>	    3533	      22
13	<a href=https://www.pasteur.fr/fr/journal-recherche/actualites/covid-19-chronique-emergence-annoncee-sortie-confinement-ou-somme-tous-dangers>https://www.pasteur.fr/fr/journal-recherche/actualites/covid-19-chronique-emergence-annoncee-sortie-confinement-ou-somme-tous-dangers</a>	Allow	200	utf-8	<a href=../aspirations/fr/fr-13.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-13.txt>Lien dump</a>	    5804	      38
14	https://unric.org/fr/covid-19-la-belgique-en-confinement-a-partir-du-18-mars/	Allow	403					
15	<a href=https://enseignants.lumni.fr/fiche-media/00000004945/covid-19-les-difficultes-des-francais-a-supporter-le-deuxieme-confinement.html>https://enseignants.lumni.fr/fiche-media/00000004945/covid-19-les-difficultes-des-francais-a-supporter-le-deuxieme-confinement.html</a>	Allow	200	utf-8	<a href=../aspirations/fr/fr-15.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-15.txt>Lien dump</a>	    1729	      28
16	https://www.vie-publique.fr/en-bref/273967-coronavirus-le-confinement-prolonge-jusquau-15-avril	Allow	200	UTF-8				
17	<a href=https://www.santepubliquefrance.fr/etudes-et-enquetes/confeado-une-etude-destinee-aux-enfants-sur-le-vecu-du-confinement-lie-a-l-epidemie-de-covid-19>https://www.santepubliquefrance.fr/etudes-et-enquetes/confeado-une-etude-destinee-aux-enfants-sur-le-vecu-du-confinement-lie-a-l-epidemie-de-covid-19</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-17.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-17.txt>Lien dump</a>	    2529	      12
18	<a href=https://www.nonfiction.fr/article-11913-confinement-et-travail-a-distance-entretien-avec-francois-granier.htm>https://www.nonfiction.fr/article-11913-confinement-et-travail-a-distance-entretien-avec-francois-granier.htm</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-18.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-18.txt>Lien dump</a>	    1724	       8
19	<a href=https://www.europe1.fr/politique/un-troisieme-confinement-local-ou-national-comment-lexecutif-va-trancher-4015070>https://www.europe1.fr/politique/un-troisieme-confinement-local-ou-national-comment-lexecutif-va-trancher-4015070</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-19.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-19.txt>Lien dump</a>	    1028	       5
20	<a href=https://www.radiofrance.fr/franceculture/podcasts/france-culture-va-plus-loin-l-invite-e-des-matins/il-y-a-quatre-ans-le-confinement-et-si-c-etait-a-refaire-9406078>https://www.radiofrance.fr/franceculture/podcasts/france-culture-va-plus-loin-l-invite-e-des-matins/il-y-a-quatre-ans-le-confinement-et-si-c-etait-a-refaire-9406078</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-20.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-20.txt>Lien dump</a>	    2100	       9
21	<a href=https://reporterre.net/Partout-en-France-les-manifs-de-confinement-prennent-de-l-ampleur>https://reporterre.net/Partout-en-France-les-manifs-de-confinement-prennent-de-l-ampleur</a>	Allow	200	utf-8	<a href=../aspirations/fr/fr-21.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-21.txt>Lien dump</a>	    2455	       9
22	https://www.vie-publique.fr/en-bref/274278-la-levee-progressive-du-confinement-compter-du-11-mai-est-confirmee	Allow	200	UTF-8				
23	https://www.prefectures-regions.gouv.fr/ile-de-france/Region-et-institutions/L-action-de-l-Etat/Sante/Le-confinement-dans-la-region-Ile-de-France	Allow	403					
24	<a href=https://enseignants.lumni.fr/fiche-media/00000004931/16-mars-2020-emmanuel-macron-annonce-un-confinement-en-france-pour-lutter-contre-lecovid-19.html>https://enseignants.lumni.fr/fiche-media/00000004931/16-mars-2020-emmanuel-macron-annonce-un-confinement-en-france-pour-lutter-contre-lecovid-19.html</a>	Allow	200	utf-8	<a href=../aspirations/fr/fr-24.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-24.txt>Lien dump</a>	    1591	      17
25	<a href=https://www.eurekoi.org/histoire-avons-nous-deja-connu-des-periodes-de-confinement-en-france/>https://www.eurekoi.org/histoire-avons-nous-deja-connu-des-periodes-de-confinement-en-france/</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-25.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-25.txt>Lien dump</a>	    1448	       9
26	<a href=https://www.vidal.fr/actualites/30141-covid-19-trois-ans-d-histoire.html>https://www.vidal.fr/actualites/30141-covid-19-trois-ans-d-histoire.html</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-26.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-26.txt>Lien dump</a>	    4549	      11
27	<a href=https://actu.orange.fr/politique/cinq-ans-apres-le-confinement-emmanuel-macron-rend-hommage-a-l-unite-nationale-magic-CNT000002hUsAB.html>https://actu.orange.fr/politique/cinq-ans-apres-le-confinement-emmanuel-macron-rend-hommage-a-l-unite-nationale-magic-CNT000002hUsAB.html</a>	Allow	200	UTF-8	<a href=../aspirations/fr/fr-27.html>Lien page brute</a>	<a href=../dumps-text/fr/fr-27.txt>Lien dump</a>	     910	       4
